Regras de tamanho 2, ou seja 1 elemento no antecedente e 1 no consequente da regra, com minsup=0.0 e minconf=0.01

C:\Users\Lucas\AppData\Local\Programs\Python\Python36-32\python.exe C:/Users/Lucas/PycharmProjects/machine_learning/machineLearning.py
{PT_Width: 1.8} -> {Class: Iris-versicolor} (conf: 0.083, supp: 0.007, lift: 0.250, conv: 0.727)
{Class: Iris-versicolor} -> {PT_Width: 1.8} (conf: 0.020, supp: 0.007, lift: 0.250, conv: 0.939)
{SP_Width: 3.4} -> {Class: Iris-versicolor} (conf: 0.083, supp: 0.007, lift: 0.250, conv: 0.727)
{Class: Iris-versicolor} -> {SP_Width: 3.4} (conf: 0.020, supp: 0.007, lift: 0.250, conv: 0.939)
{SP_Width: 2.9} -> {Class: Iris-setosa} (conf: 0.100, supp: 0.007, lift: 0.300, conv: 0.741)
{Class: Iris-setosa} -> {SP_Width: 2.9} (conf: 0.020, supp: 0.007, lift: 0.300, conv: 0.952)
{SP_Length: 5.1} -> {Class: Iris-versicolor} (conf: 0.111, supp: 0.007, lift: 0.333, conv: 0.750)
{Class: Iris-versicolor} -> {SP_Length: 5.1} (conf: 0.020, supp: 0.007, lift: 0.333, conv: 0.959)
{PT_Legth: 5.1} -> {Class: Iris-versicolor} (conf: 0.125, supp: 0.007, lift: 0.375, conv: 0.762)
{Class: Iris-versicolor} -> {PT_Legth: 5.1} (conf: 0.020, supp: 0.007, lift: 0.375, conv: 0.966)
{PT_Legth: 4.5} -> {Class: Iris-virginica} (conf: 0.125, supp: 0.007, lift: 0.375, conv: 0.762)
{Class: Iris-virginica} -> {PT_Legth: 4.5} (conf: 0.020, supp: 0.007, lift: 0.375, conv: 0.966)
{PT_Width: 1.4} -> {Class: Iris-virginica} (conf: 0.125, supp: 0.007, lift: 0.375, conv: 0.762)
{Class: Iris-virginica} -> {PT_Width: 1.4} (conf: 0.020, supp: 0.007, lift: 0.375, conv: 0.966)
{SP_Length: 5.7} -> {Class: Iris-virginica} (conf: 0.125, supp: 0.007, lift: 0.375, conv: 0.762)
{Class: Iris-virginica} -> {SP_Length: 5.7} (conf: 0.020, supp: 0.007, lift: 0.375, conv: 0.966)
{SP_Length: 5.8} -> {Class: Iris-setosa} (conf: 0.143, supp: 0.007, lift: 0.429, conv: 0.778)
{Class: Iris-setosa} -> {SP_Length: 5.8} (conf: 0.020, supp: 0.007, lift: 0.429, conv: 0.973)
{SP_Width: 3.0} -> {PT_Width: 1.3} (conf: 0.038, supp: 0.007, lift: 0.444, conv: 0.950)
{PT_Width: 1.3} -> {SP_Width: 3.0} (conf: 0.077, supp: 0.007, lift: 0.444, conv: 0.896)
{SP_Length: 4.9} -> {Class: Iris-versicolor} (conf: 0.167, supp: 0.007, lift: 0.500, conv: 0.800)
{Class: Iris-versicolor} -> {SP_Length: 4.9} (conf: 0.020, supp: 0.007, lift: 0.500, conv: 0.980)
{SP_Length: 5.4} -> {Class: Iris-versicolor} (conf: 0.167, supp: 0.007, lift: 0.500, conv: 0.800)
{Class: Iris-versicolor} -> {SP_Length: 5.4} (conf: 0.020, supp: 0.007, lift: 0.500, conv: 0.980)
{SP_Width: 3.3} -> {Class: Iris-versicolor} (conf: 0.167, supp: 0.007, lift: 0.500, conv: 0.800)
{Class: Iris-versicolor} -> {SP_Width: 3.3} (conf: 0.020, supp: 0.007, lift: 0.500, conv: 0.980)
{PT_Width: 1.5} -> {Class: Iris-virginica} (conf: 0.167, supp: 0.013, lift: 0.500, conv: 0.800)
{Class: Iris-virginica} -> {PT_Width: 1.5} (conf: 0.040, supp: 0.013, lift: 0.500, conv: 0.958)
