2.2) Regras de tamanho 2, ou seja 1 elemento no antecedente e 1 no consequente da regra, com minsup=0.0 e minconf=0.01

C:\Users\Lucas\AppData\Local\Programs\Python\Python36-32\python.exe C:/Users/Lucas/PycharmProjects/machine_learning/machineLearning.py
{taxa_lagrimas: 2} -> {Classe: 3} (conf: 0.250, supp: 0.125, lift: 0.400, conv: 0.500)
{Classe: 3} -> {taxa_lagrimas: 2} (conf: 0.200, supp: 0.125, lift: 0.400, conv: 0.625)
{disturbios_visao: 2} -> {Classe: 1} (conf: 0.083, supp: 0.042, lift: 0.500, conv: 0.909)
{Classe: 1} -> {disturbios_visao: 2} (conf: 0.250, supp: 0.042, lift: 0.500, conv: 0.667)
{idade: 3} -> {Classe: 2} (conf: 0.125, supp: 0.042, lift: 0.600, conv: 0.905)
{Classe: 2} -> {idade: 3} (conf: 0.200, supp: 0.042, lift: 0.600, conv: 0.833)
{idade: 2} -> {Classe: 1} (conf: 0.125, supp: 0.042, lift: 0.750, conv: 0.952)
{Classe: 1} -> {idade: 2} (conf: 0.250, supp: 0.042, lift: 0.750, conv: 0.889)
{idade: 3} -> {Classe: 1} (conf: 0.125, supp: 0.042, lift: 0.750, conv: 0.952)
{Classe: 1} -> {idade: 3} (conf: 0.250, supp: 0.042, lift: 0.750, conv: 0.889)
{disturbios_visao: 1} -> {Classe: 2} (conf: 0.167, supp: 0.083, lift: 0.800, conv: 0.950)
{Classe: 2} -> {disturbios_visao: 1} (conf: 0.400, supp: 0.083, lift: 0.800, conv: 0.833)
{idade: 1} -> {Classe: 3} (conf: 0.500, supp: 0.167, lift: 0.800, conv: 0.750)
{Classe: 3} -> {idade: 1} (conf: 0.267, supp: 0.167, lift: 0.800, conv: 0.909)
{astigmatico: 1} -> {Classe: 3} (conf: 0.583, supp: 0.292, lift: 0.933, conv: 0.900)
{Classe: 3} -> {astigmatico: 1} (conf: 0.467, supp: 0.292, lift: 0.933, conv: 0.937)
{disturbios_visao: 1} -> {Classe: 3} (conf: 0.583, supp: 0.292, lift: 0.933, conv: 0.900)
{Classe: 3} -> {disturbios_visao: 1} (conf: 0.467, supp: 0.292, lift: 0.933, conv: 0.937)
{idade: 2} -> {Classe: 3} (conf: 0.625, supp: 0.208, lift: 1.000, conv: 1.000)
{Classe: 3} -> {idade: 2} (conf: 0.333, supp: 0.208, lift: 1.000, conv: 1.000)
{disturbios_visao: 1} -> {astigmatico: 1} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{astigmatico: 1} -> {disturbios_visao: 1} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{disturbios_visao: 2} -> {astigmatico: 1} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{astigmatico: 1} -> {disturbios_visao: 2} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{idade: 1} -> {astigmatico: 1} (conf: 0.500, supp: 0.167, lift: 1.000, conv: 1.000)
{astigmatico: 1} -> {idade: 1} (conf: 0.333, supp: 0.167, lift: 1.000, conv: 1.000)
{idade: 2} -> {astigmatico: 1} (conf: 0.500, supp: 0.167, lift: 1.000, conv: 1.000)
{astigmatico: 1} -> {idade: 2} (conf: 0.333, supp: 0.167, lift: 1.000, conv: 1.000)
{idade: 3} -> {astigmatico: 1} (conf: 0.500, supp: 0.167, lift: 1.000, conv: 1.000)
{astigmatico: 1} -> {idade: 3} (conf: 0.333, supp: 0.167, lift: 1.000, conv: 1.000)
{taxa_lagrimas: 1} -> {astigmatico: 1} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{astigmatico: 1} -> {taxa_lagrimas: 1} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{taxa_lagrimas: 2} -> {astigmatico: 1} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{astigmatico: 1} -> {taxa_lagrimas: 2} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{disturbios_visao: 1} -> {astigmatico: 2} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{astigmatico: 2} -> {disturbios_visao: 1} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{disturbios_visao: 2} -> {astigmatico: 2} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{astigmatico: 2} -> {disturbios_visao: 2} (conf: 0.500, supp: 0.250, lift: 1.000, conv: 1.000)
{idade: 1} -> {astigmatico: 2} (conf: 0.500, supp: 0.167, lift: 1.000, conv: 1.000)
{astigmatico: 2} -> {idade: 1} (conf: 0.333, supp: 0.167, lift: 1.000, conv: 1.000)
{idade: 2} -> {astigmatico: 2} (conf: 0.500, supp: 0.167, lift: 1.000, conv: 1.000)
